,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,1.914,0.354,1.242,2.637,0.011,0.008,964.0,935.0,
AGE_AT_START,0.174,0.001,0.172,0.177,0.0,0.0,929.0,1023.0,
GNDR_CD,-0.385,0.011,-0.407,-0.363,0.0,0.0,777.0,952.0,
WIMD_QUINTILE_INCEPTION_1,0.284,0.019,0.247,0.323,0.001,0.0,948.0,929.0,
WIMD_QUINTILE_INCEPTION_2,0.178,0.017,0.146,0.213,0.001,0.0,1041.0,1017.0,
WIMD_QUINTILE_INCEPTION_4,-0.128,0.022,-0.17,-0.087,0.001,0.001,845.0,902.0,
WIMD_QUINTILE_INCEPTION_5,-0.283,0.021,-0.326,-0.247,0.001,0.0,962.0,1026.0,
cluster_probabilities[0],0.553,0.001,0.55,0.555,0.0,0.0,930.0,952.0,
cluster_probabilities[1],0.157,0.001,0.155,0.16,0.0,0.0,938.0,851.0,
cluster_probabilities[2],0.07,0.001,0.069,0.071,0.0,0.0,846.0,770.0,
cluster_probabilities[3],0.054,0.001,0.053,0.055,0.0,0.0,841.0,838.0,
cluster_probabilities[4],0.041,0.001,0.039,0.042,0.0,0.0,1064.0,1072.0,
cluster_probabilities[5],0.019,0.0,0.019,0.02,0.0,0.0,911.0,864.0,
cluster_probabilities[6],0.019,0.0,0.018,0.019,0.0,0.0,955.0,979.0,
cluster_probabilities[7],0.013,0.0,0.013,0.014,0.0,0.0,1070.0,913.0,
cluster_probabilities[8],0.012,0.0,0.012,0.013,0.0,0.0,1004.0,875.0,
cluster_probabilities[9],0.009,0.0,0.008,0.01,0.0,0.0,1047.0,889.0,
cluster_probabilities[10],0.013,0.0,0.013,0.014,0.0,0.0,890.0,845.0,
cluster_probabilities[11],0.02,0.001,0.019,0.021,0.0,0.0,1043.0,857.0,
cluster_probabilities[12],0.006,0.0,0.006,0.007,0.0,0.0,986.0,849.0,
cluster_probabilities[13],0.002,0.0,0.002,0.002,0.0,0.0,975.0,981.0,
cluster_probabilities[14],0.003,0.0,0.002,0.003,0.0,0.0,908.0,943.0,
cluster_probabilities[15],0.004,0.0,0.004,0.004,0.0,0.0,1042.0,983.0,
cluster_probabilities[16],0.0,0.0,0.0,0.0,0.0,0.0,941.0,876.0,
cluster_probabilities[17],0.0,0.0,0.0,0.0,0.0,0.0,986.0,860.0,
cluster_probabilities[18],0.001,0.0,0.001,0.001,0.0,0.0,903.0,793.0,
cluster_probabilities[19],0.0,0.0,0.0,0.0,0.0,0.0,925.0,875.0,
cluster_probabilities[20],0.003,0.0,0.002,0.003,0.0,0.0,991.0,954.0,
intercepts[0],-0.26,0.008,-0.274,-0.243,0.0,0.0,961.0,865.0,
intercepts[1],-0.728,0.015,-0.76,-0.699,0.001,0.0,899.0,941.0,
intercepts[2],2.856,0.035,2.793,2.924,0.001,0.001,952.0,762.0,
intercepts[3],2.156,0.03,2.101,2.217,0.001,0.001,1073.0,1024.0,
intercepts[4],1.195,0.042,1.111,1.274,0.001,0.001,1031.0,896.0,
intercepts[5],0.574,0.046,0.481,0.661,0.001,0.001,1021.0,1017.0,
intercepts[6],-0.003,0.045,-0.088,0.084,0.001,0.001,1056.0,972.0,
intercepts[7],0.787,0.059,0.669,0.9,0.002,0.002,788.0,844.0,
intercepts[8],1.267,0.059,1.158,1.382,0.002,0.001,1064.0,868.0,
intercepts[9],0.863,0.072,0.737,1.02,0.002,0.002,978.0,1011.0,
intercepts[10],-0.109,0.062,-0.241,0.002,0.002,0.001,987.0,942.0,
intercepts[11],1.427,0.052,1.321,1.522,0.002,0.001,870.0,765.0,
intercepts[12],3.332,0.147,3.049,3.621,0.005,0.003,1004.0,944.0,
intercepts[13],1.797,0.154,1.505,2.101,0.005,0.004,807.0,783.0,
intercepts[14],3.022,0.225,2.599,3.472,0.007,0.005,940.0,952.0,
intercepts[15],1.893,0.127,1.663,2.145,0.004,0.003,954.0,944.0,
intercepts[16],3.624,0.652,2.397,4.904,0.02,0.015,1017.0,951.0,
intercepts[17],2.697,1.1,0.657,4.881,0.035,0.025,978.0,942.0,
intercepts[18],5.312,0.904,3.577,7.109,0.031,0.022,843.0,992.0,
intercepts[19],3.625,0.673,2.393,5.068,0.023,0.016,858.0,906.0,
intercepts[20],2.437,0.183,2.073,2.799,0.006,0.004,1059.0,983.0,
"Cluster 0, FIRST_BL_ANAEMIA",0.0,0.0,0.0,0.0,0.0,0.0,921.0,982.0,
"Cluster 0, FIRST_ARRYTHMIA",0.005,0.0,0.005,0.005,0.0,0.0,1038.0,982.0,
"Cluster 0, FIRST_CPD",0.006,0.0,0.005,0.006,0.0,0.0,863.0,944.0,
"Cluster 0, FIRST_CHF",0.001,0.0,0.0,0.001,0.0,0.0,940.0,982.0,
"Cluster 0, FIRST_COAGULOPATHY",0.0,0.0,0.0,0.0,0.0,0.0,938.0,983.0,
"Cluster 0, FIRST_DEF_ANAEMIA",0.002,0.0,0.001,0.002,0.0,0.0,1040.0,988.0,
"Cluster 0, FIRST_DEPRESSION",0.001,0.0,0.001,0.001,0.0,0.0,1025.0,983.0,
"Cluster 0, FIRST_DIAB_COMP",0.0,0.0,0.0,0.0,0.0,0.0,931.0,974.0,
"Cluster 0, FIRST_DIAB",0.001,0.0,0.001,0.002,0.0,0.0,942.0,875.0,
"Cluster 0, FIRST_DRUG_ABUSE",0.0,0.0,0.0,0.0,0.0,0.0,943.0,982.0,
"Cluster 0, FIRST_FED",0.001,0.0,0.001,0.001,0.0,0.0,923.0,756.0,
"Cluster 0, FIRST_HYPERTENSION",0.016,0.0,0.015,0.016,0.0,0.0,946.0,1072.0,
"Cluster 0, FIRST_HYPERTENSION_COMP",0.0,0.0,0.0,0.0,0.0,0.0,912.0,954.0,
"Cluster 0, FIRST_HYPOTHYROIDISM",0.002,0.0,0.001,0.002,0.0,0.0,915.0,888.0,
"Cluster 0, FIRST_LIVER_DISEASE",0.0,0.0,0.0,0.001,0.0,0.0,975.0,945.0,
"Cluster 0, FIRST_LYMPHOMA",0.001,0.0,0.001,0.001,0.0,0.0,706.0,745.0,
"Cluster 0, FIRST_METASTATIC_CANCER",0.0,0.0,0.0,0.0,0.0,0.0,956.0,951.0,
"Cluster 0, FIRST_OBESITY",0.0,0.0,0.0,0.0,0.0,0.0,1010.0,1023.0,
"Cluster 0, FIRST_OND",0.001,0.0,0.001,0.001,0.0,0.0,857.0,916.0,
"Cluster 0, FIRST_PARALYSIS",0.0,0.0,0.0,0.0,0.0,0.0,1047.0,956.0,
"Cluster 0, FIRST_PEP_ULCER",0.001,0.0,0.0,0.001,0.0,0.0,1067.0,981.0,
"Cluster 0, FIRST_PVD",0.001,0.0,0.001,0.001,0.0,0.0,992.0,914.0,
"Cluster 0, FIRST_PSYCHOSES",0.0,0.0,0.0,0.0,0.0,0.0,950.0,769.0,
"Cluster 0, FIRST_PCD",0.001,0.0,0.001,0.001,0.0,0.0,830.0,849.0,
