,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,1.982,0.365,1.288,2.727,0.012,0.008,964.0,935.0,
AGE_AT_START,0.007,0.003,0.001,0.015,0.0,0.0,929.0,1023.0,
GNDR_CD,0.623,0.029,0.572,0.679,0.001,0.001,781.0,1015.0,
WIMD_QUINTILE_INCEPTION_1,-0.536,0.039,-0.616,-0.461,0.001,0.001,983.0,976.0,
WIMD_QUINTILE_INCEPTION_2,-0.153,0.045,-0.246,-0.075,0.001,0.001,1057.0,983.0,
WIMD_QUINTILE_INCEPTION_4,-0.051,0.041,-0.129,0.025,0.001,0.001,964.0,813.0,
WIMD_QUINTILE_INCEPTION_5,-0.123,0.042,-0.208,-0.042,0.001,0.001,1038.0,982.0,
cluster_probabilities[0],0.83,0.002,0.826,0.834,0.0,0.0,930.0,952.0,
cluster_probabilities[1],0.054,0.001,0.051,0.056,0.0,0.0,925.0,840.0,
cluster_probabilities[2],0.057,0.001,0.055,0.06,0.0,0.0,1050.0,864.0,
cluster_probabilities[3],0.022,0.001,0.02,0.023,0.0,0.0,987.0,983.0,
cluster_probabilities[4],0.018,0.001,0.016,0.019,0.0,0.0,1083.0,908.0,
cluster_probabilities[5],0.007,0.001,0.006,0.008,0.0,0.0,992.0,999.0,
cluster_probabilities[6],0.001,0.0,0.001,0.001,0.0,0.0,951.0,1021.0,
cluster_probabilities[7],0.0,0.0,0.0,0.001,0.0,0.0,1045.0,942.0,
cluster_probabilities[8],0.001,0.0,0.0,0.001,0.0,0.0,914.0,908.0,
cluster_probabilities[9],0.001,0.0,0.0,0.001,0.0,0.0,991.0,1015.0,
cluster_probabilities[10],0.004,0.0,0.003,0.005,0.0,0.0,936.0,833.0,
cluster_probabilities[11],0.006,0.0,0.005,0.006,0.0,0.0,1149.0,907.0,
intercepts[0],1.237,0.016,1.21,1.27,0.001,0.0,961.0,865.0,
intercepts[1],3.558,0.148,3.256,3.829,0.005,0.003,1003.0,906.0,
intercepts[2],2.429,0.101,2.23,2.616,0.003,0.002,914.0,935.0,
intercepts[3],3.881,0.286,3.349,4.431,0.009,0.006,1072.0,982.0,
intercepts[4],4.437,0.389,3.739,5.253,0.013,0.009,928.0,797.0,
intercepts[5],2.695,0.279,2.099,3.203,0.009,0.006,1020.0,990.0,
intercepts[6],4.148,1.133,1.903,6.37,0.036,0.025,997.0,944.0,
intercepts[9],4.219,1.406,1.304,6.654,0.045,0.032,980.0,1013.0,
intercepts[12],4.076,1.339,1.216,6.431,0.042,0.03,1030.0,1068.0,
intercepts[13],4.322,1.279,1.854,6.826,0.048,0.034,710.0,875.0,
intercepts[14],3.504,0.528,2.395,4.441,0.017,0.012,1014.0,981.0,
intercepts[18],3.52,0.452,2.606,4.367,0.016,0.011,838.0,944.0,
"Cluster 0, FIRST_BL_ANAEMIA",0.0,0.0,0.0,0.0,0.0,0.0,921.0,982.0,
"Cluster 0, FIRST_ARRYTHMIA",0.003,0.0,0.003,0.004,0.0,0.0,1038.0,982.0,
"Cluster 0, FIRST_CPD",0.001,0.0,0.001,0.002,0.0,0.0,863.0,944.0,
"Cluster 0, FIRST_CHF",0.001,0.0,0.001,0.002,0.0,0.0,940.0,982.0,
"Cluster 0, FIRST_COAGULOPATHY",0.0,0.0,0.0,0.0,0.0,0.0,938.0,983.0,
"Cluster 0, FIRST_DEF_ANAEMIA",0.001,0.0,0.0,0.001,0.0,0.0,1040.0,988.0,
"Cluster 0, FIRST_DEPRESSION",0.0,0.0,0.0,0.001,0.0,0.0,1025.0,983.0,
"Cluster 0, FIRST_DIAB_COMP",0.0,0.0,0.0,0.0,0.0,0.0,931.0,974.0,
"Cluster 0, FIRST_DIAB",0.001,0.0,0.0,0.001,0.0,0.0,942.0,875.0,
"Cluster 0, FIRST_DRUG_ABUSE",0.0,0.0,0.0,0.0,0.0,0.0,943.0,982.0,
"Cluster 0, FIRST_FED",0.002,0.0,0.001,0.002,0.0,0.0,923.0,756.0,
"Cluster 0, FIRST_HYPERTENSION",0.004,0.0,0.004,0.005,0.0,0.0,946.0,1072.0,
"Cluster 0, FIRST_HYPERTENSION_COMP",0.0,0.0,0.0,0.0,0.0,0.0,912.0,954.0,
"Cluster 0, FIRST_HYPOTHYROIDISM",0.001,0.0,0.0,0.001,0.0,0.0,915.0,888.0,
"Cluster 0, FIRST_LIVER_DISEASE",0.0,0.0,0.0,0.0,0.0,0.0,975.0,945.0,
"Cluster 0, FIRST_LYMPHOMA",0.0,0.0,0.0,0.0,0.0,0.0,706.0,745.0,
"Cluster 0, FIRST_METASTATIC_CANCER",0.0,0.0,0.0,0.001,0.0,0.0,956.0,951.0,
"Cluster 0, FIRST_OBESITY",0.0,0.0,0.0,0.0,0.0,0.0,1010.0,1023.0,
"Cluster 0, FIRST_OND",0.0,0.0,0.0,0.0,0.0,0.0,857.0,916.0,
"Cluster 0, FIRST_PARALYSIS",0.0,0.0,0.0,0.001,0.0,0.0,1047.0,956.0,
"Cluster 0, FIRST_PEP_ULCER",0.0,0.0,0.0,0.0,0.0,0.0,1067.0,981.0,
"Cluster 0, FIRST_PVD",0.001,0.0,0.0,0.001,0.0,0.0,992.0,914.0,
"Cluster 0, FIRST_PSYCHOSES",0.0,0.0,0.0,0.0,0.0,0.0,950.0,769.0,
"Cluster 0, FIRST_PCD",0.0,0.0,0.0,0.0,0.0,0.0,830.0,849.0,
"Cluster 0, FIRST_RENAL_DISEASE",0.0,0.0,0.0,0.001,0.0,0.0,1107.0,990.0,
"Cluster 0, FIRST_RA",0.0,0.0,0.0,0.0,0.0,0.0,1099.0,983.0,
"Cluster 0, FIRST_CANCER",0.001,0.0,0.001,0.001,0.0,0.0,913.0,908.0,
"Cluster 0, FIRST_VALVULAR_DISEASE",0.0,0.0,0.0,0.0,0.0,0.0,1107.0,979.0,
"Cluster 0, FIRST_WEIGHT_LOSS",0.001,0.0,0.0,0.001,0.0,0.0,983.0,840.0,
"Cluster 1, FIRST_BL_ANAEMIA",0.001,0.001,0.0,0.002,0.0,0.0,1053.0,926.0,
"Cluster 1, FIRST_ARRYTHMIA",0.619,0.011,0.598,0.639,0.0,0.0,842.0,983.0,
"Cluster 1, FIRST_CPD",0.196,0.009,0.18,0.213,0.0,0.0,1030.0,976.0,
