,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,1.972,0.364,1.281,2.714,0.012,0.008,964.0,935.0,
AGE_AT_START,0.043,0.002,0.039,0.047,0.0,0.0,929.0,1023.0,
GNDR_CD,-0.952,0.022,-0.996,-0.909,0.001,0.001,774.0,952.0,
WIMD_QUINTILE_INCEPTION_1,0.391,0.029,0.336,0.45,0.001,0.001,945.0,771.0,
WIMD_QUINTILE_INCEPTION_2,0.161,0.028,0.101,0.209,0.001,0.001,1049.0,982.0,
WIMD_QUINTILE_INCEPTION_4,-0.174,0.032,-0.236,-0.116,0.001,0.001,936.0,811.0,
WIMD_QUINTILE_INCEPTION_5,-0.441,0.034,-0.508,-0.377,0.001,0.001,999.0,880.0,
cluster_probabilities[0],0.877,0.0,0.876,0.878,0.0,0.0,930.0,952.0,
cluster_probabilities[1],0.026,0.0,0.026,0.027,0.0,0.0,931.0,774.0,
cluster_probabilities[2],0.019,0.0,0.019,0.02,0.0,0.0,923.0,942.0,
cluster_probabilities[3],0.024,0.0,0.024,0.025,0.0,0.0,822.0,943.0,
cluster_probabilities[4],0.014,0.0,0.013,0.014,0.0,0.0,929.0,932.0,
cluster_probabilities[5],0.007,0.0,0.007,0.007,0.0,0.0,934.0,829.0,
cluster_probabilities[6],0.006,0.0,0.005,0.006,0.0,0.0,977.0,738.0,
cluster_probabilities[7],0.003,0.0,0.003,0.003,0.0,0.0,1034.0,881.0,
cluster_probabilities[8],0.005,0.0,0.004,0.005,0.0,0.0,1131.0,1070.0,
cluster_probabilities[9],0.001,0.0,0.001,0.001,0.0,0.0,1023.0,909.0,
cluster_probabilities[10],0.001,0.0,0.0,0.001,0.0,0.0,1053.0,983.0,
cluster_probabilities[11],0.0,0.0,0.0,0.001,0.0,0.0,956.0,944.0,
cluster_probabilities[12],0.001,0.0,0.001,0.001,0.0,0.0,956.0,872.0,
cluster_probabilities[13],0.001,0.0,0.001,0.001,0.0,0.0,1062.0,907.0,
cluster_probabilities[14],0.001,0.0,0.001,0.001,0.0,0.0,953.0,909.0,
cluster_probabilities[15],0.001,0.0,0.001,0.001,0.0,0.0,1010.0,906.0,
cluster_probabilities[16],0.0,0.0,0.0,0.001,0.0,0.0,987.0,992.0,
cluster_probabilities[17],0.007,0.0,0.006,0.007,0.0,0.0,1005.0,1025.0,
cluster_probabilities[18],0.001,0.0,0.001,0.001,0.0,0.0,969.0,912.0,
cluster_probabilities[19],0.003,0.0,0.003,0.003,0.0,0.0,1086.0,1072.0,
cluster_probabilities[20],0.0,0.0,0.0,0.0,0.0,0.0,971.0,872.0,
cluster_probabilities[21],0.002,0.0,0.002,0.002,0.0,0.0,797.0,875.0,
cluster_probabilities[22],0.0,0.0,0.0,0.0,0.0,0.0,1064.0,816.0,
cluster_probabilities[23],0.0,0.0,0.0,0.0,0.0,0.0,1111.0,1014.0,
intercepts[0],-4.197,0.013,-4.219,-4.169,0.0,0.0,961.0,865.0,
intercepts[1],-3.081,0.045,-3.167,-2.989,0.002,0.001,860.0,934.0,
intercepts[2],-3.637,0.074,-3.776,-3.495,0.002,0.002,938.0,657.0,
intercepts[3],-4.649,0.09,-4.815,-4.48,0.003,0.002,976.0,967.0,
intercepts[4],-4.999,0.155,-5.305,-4.712,0.005,0.004,931.0,886.0,
intercepts[5],-4.712,0.195,-5.138,-4.35,0.006,0.004,1023.0,1023.0,
intercepts[6],-4.173,0.153,-4.481,-3.876,0.005,0.003,1031.0,944.0,
intercepts[7],-3.44,0.168,-3.795,-3.125,0.005,0.004,980.0,961.0,
intercepts[8],-2.077,0.067,-2.203,-1.953,0.002,0.001,1059.0,1026.0,
